path,image_id,datetime
DSC46000.JPG,46000,2023-05-22 17:55:01.807552
DSC46001.JPG,46001,2023-05-22 17:55:16.801401
DSC46002.JPG,46002,2023-05-22 17:55:31.719166
DSC46003.JPG,46003,2023-05-22 17:55:46.759409
DSC46004.JPG,46004,2023-05-22 17:56:01.922861
DSC46005.JPG,46005,2023-05-22 17:56:16.719654
DSC46006.JPG,46006,2023-05-22 17:56:31.784912
DSC46007.JPG,46007,2023-05-22 17:56:46.697715
DSC46008.JPG,46008,2023-05-22 17:57:01.720918
DSC46009.JPG,46009,2023-05-22 17:57:16.926963
DSC46010.JPG,46010,2023-05-22 17:57:31.804429
DSC46011.JPG,46011,2023-05-22 17:57:46.775602
DSC46012.JPG,46012,2023-05-22 17:58:01.714125
DSC46013.JPG,46013,2023-05-22 17:58:16.789251
DSC46014.JPG,46014,2023-05-22 17:58:31.617692
DSC46015.JPG,46015,2023-05-22 17:58:46.745937
DSC46016.JPG,46016,2023-05-22 17:59:01.748396
DSC46017.JPG,46017,2023-05-22 17:59:16.685345
DSC46018.JPG,46018,2023-05-22 17:59:31.660990
DSC46019.JPG,46019,2023-05-22 17:59:46.662671
DSC46020.JPG,46020,2023-05-22 18:00:01.732500
DSC46021.JPG,46021,2023-05-22 18:00:16.720452
DSC46022.JPG,46022,2023-05-22 18:00:31.726629
DSC46023.JPG,46023,2023-05-22 18:00:46.635014
DSC46024.JPG,46024,2023-05-22 18:01:01.604989
DSC46025.JPG,46025,2023-05-22 18:01:16.865425
DSC46026.JPG,46026,2023-05-22 18:01:31.858628
DSC46027.JPG,46027,2023-05-22 18:01:46.748376
DSC46028.JPG,46028,2023-05-22 18:02:01.737903
DSC46029.JPG,46029,2023-05-22 18:02:16.776759
DSC46030.JPG,46030,2023-05-22 18:02:31.788909
DSC46031.JPG,46031,2023-05-22 18:02:46.707445
DSC46032.JPG,46032,2023-05-22 18:03:01.885210
DSC46033.JPG,46033,2023-05-22 18:03:16.837075
DSC46034.JPG,46034,2023-05-22 18:03:31.723824
DSC46035.JPG,46035,2023-05-22 18:03:46.929848
DSC46036.JPG,46036,2023-05-22 18:04:01.726409
DSC46037.JPG,46037,2023-05-22 18:04:17.019819
DSC46038.JPG,46038,2023-05-22 18:04:31.733451
DSC46039.JPG,46039,2023-05-22 18:04:46.783189
DSC46040.JPG,46040,2023-05-22 18:05:01.791178
DSC46041.JPG,46041,2023-05-22 18:05:16.742003
DSC46042.JPG,46042,2023-05-22 18:05:31.646227
DSC46043.JPG,46043,2023-05-22 18:05:46.789040
DSC46044.JPG,46044,2023-05-22 18:06:01.676867
DSC46045.JPG,46045,2023-05-22 18:06:16.745862
DSC46046.JPG,46046,2023-05-22 18:06:31.845241
DSC46047.JPG,46047,2023-05-22 18:06:46.803282
DSC46048.JPG,46048,2023-05-22 18:07:01.727460
DSC46049.JPG,46049,2023-05-22 18:07:16.723443
DSC46050.JPG,46050,2023-05-22 18:07:31.892461
