path,image_id,datetime
DSC60933.JPG,60933,2023-09-05 11:42:44.788494
DSC60934.JPG,60934,2023-09-05 11:45:15.070715
DSC60935.JPG,60935,2023-09-05 11:47:45.321788
DSC60936.JPG,60936,2023-09-05 11:50:15.031332
DSC60937.JPG,60937,2023-09-05 11:52:44.889036
DSC60938.JPG,60938,2023-09-05 11:55:15.083874
DSC60939.JPG,60939,2023-09-05 11:57:45.070526
DSC60940.JPG,60940,2023-09-05 12:00:14.913748
DSC60941.JPG,60941,2023-09-05 12:02:44.895931
DSC60942.JPG,60942,2023-09-05 12:05:15.201746
DSC60943.JPG,60943,2023-09-05 12:07:44.875691
DSC60944.JPG,60944,2023-09-05 12:10:15.230029
DSC60945.JPG,60945,2023-09-05 12:12:45.073839
DSC60946.JPG,60946,2023-09-05 12:15:15.015050
DSC60947.JPG,60947,2023-09-05 12:17:45.044345
DSC60948.JPG,60948,2023-09-05 12:20:15.038040
DSC60949.JPG,60949,2023-09-05 12:22:44.849131
DSC60950.JPG,60950,2023-09-05 12:25:15.027976
DSC60951.JPG,60951,2023-09-05 12:27:45.081488
DSC60952.JPG,60952,2023-09-05 12:30:15.000830
DSC60953.JPG,60953,2023-09-05 12:32:45.277998
DSC60954.JPG,60954,2023-09-05 12:35:15.012005
DSC60955.JPG,60955,2023-09-05 12:37:44.826095
DSC60956.JPG,60956,2023-09-05 12:40:15.067834
DSC60957.JPG,60957,2023-09-05 12:42:45.022417
DSC60958.JPG,60958,2023-09-05 12:45:15.282040
DSC60959.JPG,60959,2023-09-05 12:47:45.046988
DSC60960.JPG,60960,2023-09-05 12:50:15.031359
DSC60961.JPG,60961,2023-09-05 12:52:44.854306
DSC60962.JPG,60962,2023-09-05 12:55:15.058257
DSC60963.JPG,60963,2023-09-05 12:57:45.322288
DSC60964.JPG,60964,2023-09-05 13:00:15.076543
DSC60965.JPG,60965,2023-09-05 13:02:44.911454
DSC60966.JPG,60966,2023-09-05 13:05:15.113832
DSC60967.JPG,60967,2023-09-05 13:07:44.947974
DSC60968.JPG,60968,2023-09-05 13:10:15.070157
DSC60969.JPG,60969,2023-09-05 13:12:45.012244
DSC60970.JPG,60970,2023-09-05 13:15:15.012741
DSC60971.JPG,60971,2023-09-05 13:17:45.047561
DSC60972.JPG,60972,2023-09-05 13:20:15.290310
DSC60973.JPG,60973,2023-09-05 13:22:44.842777
DSC60974.JPG,60974,2023-09-05 13:25:14.970418
DSC60975.JPG,60975,2023-09-05 13:27:44.918522
DSC60976.JPG,60976,2023-09-05 13:30:14.967555
DSC60977.JPG,60977,2023-09-05 13:32:45.292599
DSC60978.JPG,60978,2023-09-05 13:35:15.062755
DSC60979.JPG,60979,2023-09-05 13:37:44.902780
DSC60980.JPG,60980,2023-09-05 13:40:15.101753
DSC60981.JPG,60981,2023-09-05 13:42:45.002577
DSC60982.JPG,60982,2023-09-05 13:45:15.323720
DSC60983.JPG,60983,2023-09-05 13:47:45.149979
DSC60984.JPG,60984,2023-09-05 13:50:15.010923
DSC60985.JPG,60985,2023-09-05 13:52:44.858153
DSC60986.JPG,60986,2023-09-05 13:55:15.134485
